hash count mean4 stdev4 median4 min4 max4 mean8 stdev8 median8 min8 max8
2002-12 5603 350.1875 12.26386332890252 352.0 325 370 21.88671875 4.492926230019633 22.0 9 35
2003-01 6041 377.5625 14.882744832523334 381.0 346 402 23.59765625 4.505880963456085 23.0 10 37
2003-02 6450 403.125 18.917171432325713 405.0 366 433 25.1953125 4.823540248338739 25.0 10 40
2003-03 6885 430.3125 21.35918640187402 434.5 378 467 26.89453125 5.0914114047848695 27.0 12 43
2003-04 7516 469.75 22.230328382639787 473.0 408 507 29.359375 5.483261995324955 29.0 16 47
2003-05 8625 539.0625 20.93283530126772 539.5 495 572 33.69140625 5.780699667640668 33.0 17 53
2003-06 8879 554.9375 17.93902432547545 561.5 523 587 34.68359375 5.728687095221813 34.0 18 53
2003-07 9507 594.1875 14.799572417809914 593.0 569 619 37.13671875 5.73715101190464 37.0 21 57
2003-08 10123 632.6875 18.250749128460452 634.5 593 661 39.54296875 5.987463251371438 39.5 24 58
2003-09 10766 672.875 20.371165283311605 671.5 640 704 42.0546875 6.374765429201592 42.0 24 61
2003-10 11378 711.125 23.978831810578264 706.0 680 764 44.4453125 6.739932995018849 44.0 28 71
2003-11 11806 737.875 22.5079846943257 737.5 704 775 46.1171875 6.886491638697004 46.0 31 73
2003-12 12264 766.5 25.124689052802225 762.0 725 803 47.90625 7.0831418479019606 48.0 31 69
2004-01 12542 783.875 23.758879918885064 788.0 748 818 48.9921875 7.1408771495414864 49.0 33 71
2004-02 12954 809.625 23.0702053523587 815.0 767 841 50.6015625 7.472177397425315 50.0 33 70
2004-03 13402 837.625 28.01311076978064 839.0 791 874 52.3515625 7.513102974709834 52.0 34 70
2004-04 13975 873.4375 26.844386633894246 877.0 806 905 54.58984375 7.661269679406015 55.0 36 75
2004-05 14153 884.5625 29.03008945473644 888.0 805 927 55.28515625 7.732385121234323 55.0 35 78
2004-06 14685 917.8125 31.63506509792575 920.0 840 972 57.36328125 7.794031882369897 57.0 34 83
2004-07 15330 958.125 32.96375850839828 949.0 888 1009 59.8828125 7.91223448779444 60.0 39 88
2004-08 16123 1007.6875 34.69999774855901 1007.0 929 1067 62.98046875 8.043558744751818 63.0 46 88
2004-09 16771 1048.1875 31.66665981359575 1056.0 958 1084 65.51171875 8.409435930601912 66.0 45 91
2004-10 17238 1077.375 31.772383841946766 1080.5 1000 1120 67.3359375 8.497497190119791 68.0 46 100
2004-11 17577 1098.5625 36.91877698069101 1102.0 1005 1152 68.66015625 9.236356829160831 69.0 46 103
2004-12 17543 1096.4375 36.79158998670756 1101.5 1003 1145 68.52734375 8.85645258099065 69.0 46 102
2005-01 18047 1127.9375 38.84016727242559 1137.5 1025 1173 70.49609375 9.032925037949276 71.0 46 103
2005-02 18534 1158.375 36.486084676215945 1165.0 1063 1205 72.3984375 9.023268396683862 73.0 49 106
2005-03 19075 1192.1875 33.632608339972684 1193.0 1099 1235 74.51171875 9.01300380954643 75.0 50 104
2005-04 19554 1222.125 38.991785993975704 1218.5 1129 1295 76.3828125 9.38884069466746 77.0 52 107
2005-05 19322 1207.625 40.75057514931538 1208.0 1106 1288 75.4765625 9.116404207997457 75.5 49 109
2005-06 19771 1235.6875 45.082866410089764 1234.5 1109 1309 77.23046875 9.292428525701634 78.0 54 110
2005-07 19902 1243.875 46.703686952959075 1250.0 1108 1310 77.7421875 9.37353829750771 78.0 51 110
2005-08 20060 1253.75 45.039565939293865 1255.0 1123 1319 78.359375 9.675383047165369 78.0 51 113
2005-09 20705 1294.0625 45.917682800311255 1299.5 1169 1367 80.87890625 9.625252856611661 81.0 54 111
2005-10 20924 1307.75 46.794096849923285 1310.5 1182 1384 81.734375 9.688898588558711 82.0 54 107
2005-11 21487 1342.9375 43.10375382434806 1341.5 1232 1413 83.93359375 9.737546352134142 84.5 55 111
2005-12 21897 1368.5625 42.99268651468526 1371.5 1254 1440 85.53515625 9.589154761400295 86.0 57 113
2006-01 22094 1380.875 43.027425846778236 1390.5 1267 1449 86.3046875 9.641672729736461 85.0 64 114
2006-02 22579 1411.1875 41.06430741836516 1412.0 1312 1481 88.19921875 9.492357090820406 87.0 68 115
2006-03 22884 1430.25 41.26969226926705 1433.5 1329 1501 89.390625 9.572694218942491 89.0 70 114
2006-04 23409 1463.0625 43.685622277243574 1470.0 1341 1521 91.44140625 9.99435799701316 92.0 69 115
2006-05 23897 1493.5625 42.07577799340138 1506.5 1375 1547 93.34765625 10.257630276132785 93.5 70 120
2006-06 24266 1516.625 49.263164484226955 1534.5 1396 1586 94.7890625 10.128589135269223 94.0 72 124
2006-07 24621 1538.8125 46.71217554075169 1551.5 1411 1597 96.17578125 10.334841300288478 96.0 72 127
2006-08 24637 1539.8125 45.76873762460573 1554.0 1413 1590 96.23828125 10.409668140526788 96.0 74 127
2006-09 24878 1554.875 44.619047222010465 1568.5 1440 1607 97.1796875 10.488783885767871 97.0 72 124
2006-10 25316 1582.25 38.96071739585913 1586.5 1494 1641 98.890625 10.614505386939845 98.0 74 130
2006-11 25017 1563.5625 36.250808180646125 1567.5 1467 1615 97.72265625 10.241099144834793 97.0 72 131
2006-12 24950 1559.375 38.739313042437914 1564.0 1464 1608 97.4609375 10.491367242695002 98.0 71 124
2007-01 24862 1553.875 36.336749648255555 1560.0 1471 1614 97.1171875 10.258853717148117 98.0 72 126
2007-02 24308 1519.25 40.055430343462795 1516.0 1432 1578 94.953125 10.443194086790449 95.0 72 123
2007-03 24411 1525.6875 39.3092208489306 1527.0 1441 1582 95.35546875 10.222266662427343 95.0 71 124
2007-04 24652 1540.75 41.91136480717372 1549.0 1452 1610 96.296875 10.525533964335253 97.0 70 123
2007-05 24824 1551.5 45.661800227323496 1559.5 1456 1633 96.96875 10.601398418958698 97.0 74 123
2007-06 25358 1584.875 48.555219853276334 1593.0 1470 1668 99.0546875 10.99027168805866 99.0 70 128
2007-07 25349 1584.3125 47.813071892004594 1592.5 1483 1678 99.01953125 10.611554423376127 99.0 69 127
2007-08 25415 1588.4375 47.87479601784221 1593.0 1485 1663 99.27734375 10.434563320730577 99.0 72 127
2007-09 25372 1585.75 46.231077210032645 1587.5 1496 1650 99.109375 10.292013268033374 99.0 69 124
2007-10 25449 1590.5625 44.8078798176169 1596.0 1500 1663 99.41015625 10.210658798558786 99.0 69 126
2007-11 27137 1696.0625 43.33657339649733 1698.0 1625 1770 106.00390625 10.580605062623354 105.0 80 134
2007-12 27148 1696.75 41.384628788959795 1697.0 1638 1766 106.046875 10.463746472195082 105.0 80 134
2008-01 27398 1712.375 45.113571960109745 1706.5 1649 1790 107.0234375 10.781541549499948 106.0 80 135
2008-02 27380 1711.25 47.51249835569584 1709.5 1633 1808 106.953125 10.80462818584587 106.0 78 138
2008-03 27167 1697.9375 50.64023690456039 1692.0 1610 1785 106.12109375 10.584711500731181 106.0 79 136
2008-04 27240 1702.5 47.791212581394085 1704.0 1611 1782 106.40625 10.67410527573623 106.0 78 134
2008-05 27507 1719.1875 48.060142985118134 1730.0 1610 1782 107.44921875 10.589156423655684 107.0 81 133
2008-06 27726 1732.875 39.52036658483826 1742.5 1643 1788 108.3046875 10.425748319777519 108.0 86 133
2008-07 27628 1726.75 37.75827723824274 1733.5 1654 1804 107.921875 10.371693279516851 108.0 85 136
2008-08 27876 1742.25 40.226701331329664 1751.0 1660 1827 108.890625 10.17866516834968 108.0 85 136
2008-09 28005 1750.3125 43.5096523055517 1755.0 1656 1849 109.39453125 10.241450768459195 109.0 84 136
2008-10 31773 1985.8125 54.926335611890224 1984.5 1881 2112 124.11328125 11.087315888365337 124.0 97 162
2008-11 32048 2003 54.0451200387232 2007.5 1910 2128 125.1875 11.303172950548001 124.0 97 165
2008-12 32182 2011.375 56.602644593693675 2016.5 1924 2151 125.7109375 11.22299003702194 125.0 100 169
2009-01 32056 2003.5 55.783061945361155 2013.5 1907 2139 125.21875 11.106682602717159 125.0 100 169
2009-02 32296 2018.5 55.45155543354938 2027.5 1930 2152 126.15625 11.201937262701483 126.0 98 170
2009-03 32549 2034.3125 52.617391077000384 2045.5 1955 2169 127.14453125 11.132661046118912 127.0 98 169
2009-04 32856 2053.5 56.88694929419225 2064.0 1970 2188 128.34375 11.49927817028095 129.0 99 171
2009-05 33237 2077.3125 54.71599257758192 2086.5 1986 2211 129.83203125 11.610168183494304 130.0 100 177
2009-06 31706 1981.625 47.64959994585474 1984.5 1902 2100 123.8515625 11.169916239999015 124.0 97 166
2009-07 31696 1981 51.807335387954474 1985.0 1904 2104 123.8125 11.025715679718935 123.5 97 166
2009-08 31718 1982.375 54.447078663597736 1985.5 1883 2108 123.8984375 11.119268076568428 124.0 92 160
2009-09 31892 1993.25 56.05744821163375 1995.5 1889 2120 124.578125 11.351699607740464 125.0 93 154
2009-10 31685 1980.3125 56.63117378043651 1984.0 1892 2101 123.76953125 11.488683688972964 123.5 95 150
2009-11 31790 1986.875 57.79908628170518 1991.0 1879 2123 124.1796875 11.539289943594612 124.0 98 151
2009-12 31565 1972.8125 50.6275848105556 1974.0 1870 2089 123.30078125 11.397614855295314 123.0 95 151
2010-01 31421 1963.8125 49.15310105934314 1971.0 1863 2068 122.73828125 11.56730725129658 123.0 93 156
2010-02 35661 2228.8125 52.899927634638594 2227.0 2128 2300 139.30078125 12.093360756615526 139.0 106 177
2010-03 36021 2251.3125 50.12199959847971 2244.5 2160 2338 140.70703125 12.139654054441726 140.0 106 181
2010-04 36817 2301.0625 46.83143809184168 2293.5 2219 2383 143.81640625 12.288264710078511 143.0 111 183
2010-05 36558 2284.875 41.16866982305841 2290.0 2200 2338 142.8046875 12.271383500948202 142.0 110 184
2010-06 36617 2288.5625 43.36468717458942 2293.5 2204 2354 143.03515625 12.008571742221717 143.0 113 184
2010-07 36633 2289.5625 44.87478238108793 2291.5 2207 2352 143.09765625 12.016355812260052 143.0 114 186
